,Unnamed: 0,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank,community
58,8270,nm0475888,Ken Kuronuma,writer,2.676802826703e-05,0.0001147003432402,0.0619863745166635,1.8079147183959665e-05,0.0155364805088386,nm0475888
59,1691,nm0297974,Jun Fukuda,"director,writer",0.0001043953102414,9.012952139356e-05,0.0616350174662575,0.000265844697262,0.0155238467487886,nm0297974
60,251,nm0727336,Rintarô,director,6.692007066759e-05,0.0001424667000874,0.060779952336246,0.0011040726569114,0.0155233529409781,nm0727336
61,3773,nm0052419,Yoshimitsu Banno,"director,writer",3.2121633920440005e-05,4.918839952864e-05,0.0618765439360075,0.0001106916856432,0.0155171364137749,nm0052419
62,2781,nm0386750,Eijirô Hisaita,writer,3.2121633920440005e-05,7.732192313464e-05,0.0617068700051323,0.00015999452424,0.0154940770216068,nm0386750
63,1894,nm0945428,Kajirô Yamamoto,"writer,director,producer",5.621285936077e-05,3.877663004408e-05,0.0615597296585622,0.0002375730979948,0.0154730730614904,nm0945428
64,3597,nm0082561,Salvatore Billitteri,producer,2.409122544033e-05,4.8800124058040005e-05,0.0616860652613679,0.0001162550668318,0.0154688029194245,nm0082561
65,4496,nm0856803,Masaaki Tezuka,director,3.2121633920440005e-05,3.956746884038e-05,0.0615354244351831,8.459161391536001e-05,0.0154229262879648,nm0856803
66,295,nm0463521,Kazuo Koike,writer,9.368809893463e-05,3.4649806023555247e-06,0.0606249639831729,0.0009685108098474,0.0154226569681393,nm0463521
67,3407,nm0383024,Shigeaki Hidaka,"writer,director",3.2121633920440005e-05,6.437407813558e-05,0.0614262880164655,0.0001256003356346,0.015412096016039,nm0383024
68,6850,nm0710698,Frederic Raphael,writer,1.070721130681e-05,5.327832805722001e-05,0.0615502753461023,3.26119982136496e-05,0.01541171822092,nm0710698
69,5713,nm0945455,Michio Yamamoto,director,1.873761978692e-05,5.103892809914001e-05,0.0615016990025211,5.387259723588e-05,0.0154063370369107,nm0945455
70,2047,nm0410945,Toshirô Ishidô,writer,3.7475239573850005e-05,1.0059885762590146e-05,0.0612974413878995,0.0002224748561086,0.0153918628423361,nm0410945
71,7030,nm0583360,Stanley D. Meyer,producer,1.6060816960220003e-05,0.000257446959557,0.0611989354430563,2.983786977297293e-05,0.0153755702723366,nm0583360
72,6710,nm0073399,Reuben Bercovitch,writer,2.141442261363e-05,6.438504041454e-05,0.061360454943132,3.511421247837324e-05,0.0153703421546596,nm0073399
73,1352,nm0607407,Paul Morrissey,director,3.7475239573850005e-05,3.875142580792e-05,0.0610196772182184,0.0003189485120969,0.0153537130989242,nm0607407
74,5167,nm0945491,Shûgorô Yamamoto,writer,4.818245088066e-05,6.747313285004e-05,0.0612149600686615,6.262019648304e-05,0.0153483089622188,nm0945491
75,2288,nm0837479,Toshio Sugie,director,7.2273676321e-05,4.383161217694001e-05,0.0609388236827433,0.000199121945015,0.015313512729064,nm0837479
76,319,nm0700578,Monkey Punch,"writer,director",7.762728197440001e-05,4.667058686442e-05,0.0601187202217253,0.0009196031817137,0.0152906553180694,nm0700578
77,1588,nm0455839,Keisuke Kinoshita,"writer,director",6.692007066759e-05,2.636747576394e-05,0.0607764410231227,0.000280664627006,0.01528759829914,nm0455839
78,1512,nm0368674,Masami Hata,director,3.2121633920440005e-05,1.082558518696038e-05,0.0607940016469466,0.0002915266722766,0.0152821188845826,nm0368674
79,1967,nm0847678,Kazuo Takimura,producer,4.818245088066e-05,0.0001567066277056,0.060595718945072,0.000229308655332,0.0152574791697475,nm0847678
80,970,nm0651487,Norio Osada,writer,6.692007066759e-05,1.0368484372995778e-05,0.0604325535306535,0.0004186719852691,0.0152321285177408,nm0651487
81,1544,nm0848795,Taijirô Tamura,writer,2.676802826703e-05,3.106429742498e-05,0.0605774006175638,0.0002861645321641,0.0152303493688549,nm0848795
82,177,nm0960028,Katsuhiro Ôtomo,"director,writer",6.424326784089e-05,0.0001394345920576,0.0593208153598917,0.0013586962700236,0.0152207973724534,nm0960028
83,2594,nm0848956,Gorô Tanada,writer,4.015204240055001e-05,6.6090524366e-05,0.0605904840068249,0.0001727574890134,0.0152173710156512,nm0848956
84,431,nm0637726,Simon Nuchtern,"director,producer,writer",4.818245088066e-05,3.707401917618e-05,0.0599722093561834,0.0007405896866464,0.0151995138782216,nm0637726
85,12161,nm0475902,Hisao Kurosawa,producer,1.070721130681e-05,4.585354274182e-05,0.0606171043344232,3.38839964760542e-10,0.0151684163568279,nm0475902
86,186,nm0411110,Fumio Ishimori,writer,7.495047914770001e-05,2.501910036856e-05,0.0592327236129976,0.0012983568724229,0.0151577625162342,nm0411110
87,1659,nm0559431,Sadatsugu Matsuda,director,6.424326784089e-05,2.133213550294e-05,0.0602012861138332,0.0002706833288265,0.0151393862115009,nm0559431
88,2976,nm0866744,Tsuneo Tomita,writer,4.818245088066e-05,3.380790037612e-05,0.0602905569007263,0.0001474769467163,0.0151300060496748,nm0866744
89,1212,nm0651519,Jirô Osaragi,writer,6.692007066759e-05,3.291633327682e-05,0.0600470890410958,0.000350221691008,0.015124286784012,nm0651519
90,2327,nm0441540,Tomoharu Katsumata,"writer,director",3.479843674714e-05,3.769784278494e-05,0.0602064540128336,0.0001937890478589,0.0151181848350561,nm0441540
91,1301,nm0784540,Takenori Sentô,"producer,writer",4.818245088066e-05,7.147734143159179e-06,0.0600440902637568,0.0003274949762354,0.015106728856254,nm0784540
92,1611,nm0621534,Masashige Narusawa,writer,6.156646501418001e-05,2.226335433162e-05,0.0600106955684694,0.0002770447411083,0.0150928925322308,nm0621534
93,3333,nm0849045,Osamu Tanaka,producer,5.621285936077e-05,3.2167888455460005e-05,0.0601028351067628,0.0001297822981405,0.0150802495381799,nm0849045
94,3306,nm0462030,Masaki Kobayashi,"writer,director",4.550564805396e-05,3.454759033474e-05,0.0601028351067628,0.0001313638738997,0.0150785630547628,nm0462030
95,2247,nm0945537,Sadao Yamanaka,"writer,director",5.621285936077e-05,2.984236585778e-05,0.0600273882715432,0.0002003395676713,0.0150784457661082,nm0945537
96,4177,nm0632805,Yoshinobu Nishioka,producer,4.818245088066e-05,2.9580883914100003e-05,0.0601122792983258,9.192941915416e-05,0.0150704930130686,nm0632805
97,5319,nm0879772,Seiichirô Uchikawa,"director,writer",2.141442261363e-05,3.839314475048e-05,0.0601586847748391,5.819877198984e-05,0.0150691727785482,nm0879772
98,4779,nm0394687,Hiromichi Horikawa,director,2.409122544033e-05,2.438354438334e-05,0.0601152848908221,7.427526070064e-05,0.0150595087303366,nm0394687
99,1572,nm0619069,Hideichi Nagahara,writer,3.7475239573850005e-05,4.026740621122e-05,0.0598651359310315,0.0002837890050313,0.0150566668954619,nm0619069
100,256,nm0440569,Hiroshi Kashiwabara,writer,7.2273676321e-05,3.8246047498e-05,0.0589716640040359,0.0010920395649382,0.0150435558231983,nm0440569
101,1884,nm0557945,Yasuzô Masumura,"director,writer",7.495047914770001e-05,1.7659886142733253e-05,0.0597830642354328,0.0002389892034046,0.0150286659510319,nm0557945
