,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
796,nm0566338,Bernard McConville,writer,0.00012313293002837002,0.00299960826611006,0.06526209677419352,0.00048446776718828,0.017217326434380058
1854,nm0000570,Alan Parker,director,8.030408480111e-05,0.00012897413395118,0.06841382225509877,0.00024401356580404,0.017216778509913776
2098,nm0218621,James DeMonaco,"writer,director",4.8182450880660004e-05,7.177089976106e-05,0.06852746000081421,0.0002169897034542,0.01721610076372753
7887,nm0568571,J.P. McEvoy,writer,0.00010171850741473999,0.00549671398433536,0.06323833281988472,2.206554526397818e-05,0.0172147077142247
5153,nm0548403,Gene Markey,writer,8.298088762781001e-05,0.004585640600615701,0.0641248942832979,6.303728371056001e-05,0.017214138263812993
3452,nm0460141,Steve Kloves,"producer,writer,director",5.8889662187480005e-05,0.00010624682986682001,0.0685676576260968,0.00012342112659620002,0.017214053811186826
782,nm0139867,Steve Carr,director,8.833449328122e-05,0.00034091766700482,0.06793668219206832,0.00048837753831008,0.017213577972666108
2334,nm0583600,Nancy Meyers,"writer,director",5.8889662187480005e-05,0.0005193145022799401,0.06807956448233742,0.00019337346189872,0.01721278552717589
220,nm0192446,Sean S. Cunningham,"producer,director,writer",0.00013384014133518,3.2670403739140004e-05,0.06751052821561784,0.00117178628687652,0.01721220626189217
3871,nm0775976,B.P. Schulberg,"producer,writer",0.00014990095829541002,0.004837065791167581,0.06375232929840774,0.00010580666356108001,0.017211275677857952
547,nm0911061,Wayne Wang,director,0.00010707211306815001,8.542276177456001e-05,0.06800969696969697,0.00063751162092376,0.017209925866365862
479,nm0317212,Walter B. Gibson,writer,6.959687349429e-05,0.0008426528361925,0.06722580335961276,0.0006869978366202,0.017206262726479935
4071,nm0792042,Jack Sher,"writer,director",5.353605653407e-05,0.00275986547977326,0.06591532087529954,9.620165213192001e-05,0.017206231015934697
2740,nm0204016,Valentine Davies,writer,6.959687349429e-05,0.0030203342634973203,0.06557124158563947,0.00016320893306156,0.01720609541392316
1959,nm0202088,Jules Dassin,"director,writer",9.368809893463001e-05,0.00234798428896458,0.06614793331918604,0.0002307653279866,0.017205092758767963
3373,nm0770650,Andrew Scheinman,"producer,writer,director",5.353605653407e-05,8.534812596276001e-05,0.06855313637807589,0.00012794591214232,0.01720499161817876
2343,nm0649460,Roberto Orci,writer,8.565769045452e-05,9.773885768894e-05,0.06844163976286703,0.000192418759786,0.017204363767699123
5351,nm0502649,Jack Leonard,writer,5.0859253707369995e-05,0.0013709175068507202,0.06733821929206937,5.737837081476001e-05,0.017204343605860557
1171,nm0041864,John August,"writer,director",9.368809893463001e-05,0.00022589134275732,0.0681379891027146,0.00035833818748696,0.017203976682973375
4628,nm0942027,Ardel Wray,writer,3.7475239573850005e-05,0.0008460996657197999,0.06784741144414166,7.972026395988001e-05,0.017202676653348795
2299,nm0139111,Glenn Gordon Caron,director,4.015204240055001e-05,0.00082884462564204,0.0677425586374539,0.00019767722241240002,0.017202308131977224
1239,nm0001878,David Zucker,"director,writer,producer",8.833449328122e-05,0.0001478807896724,0.06822083701476081,0.00034261283789732006,0.01719991628390294
5054,nm0049587,Nigel Balchin,writer,5.621285936077e-05,0.00192911063219528,0.06674279732591057,6.57629288572e-05,0.017198470936580956
1936,nm0393678,Lance Hool,"producer,director",5.621285936077e-05,0.00020256234915240002,0.0683005607719338,0.00023347137750068,0.017198201839486914
1126,nm0331532,Raja Gosnell,director,8.565769045452e-05,0.00033629439233454,0.0679965097678026,0.00037056885704056,0.017197257676908054
5843,nm0291905,David Franzoni,writer,4.015204240055001e-05,0.00011501307034571999,0.0685827438964764,5.071465228180001e-05,0.017197155915376117
2151,nm0076748,Harvey Bernhard,"writer,producer",5.353605653407e-05,0.00012534135482662,0.06839491926243162,0.00021294328236040003,0.017196684989038178
1286,nm0676361,Charlie Peters,"writer,director",8.833449328122e-05,0.00017966549216702,0.06817717868541708,0.00033193581012080003,0.017194278620246528
650,nm0896131,Mark Victor,"producer,writer",7.762728197440001e-05,7.08014664401e-05,0.06805589248459559,0.00057064376242972,0.017193741248859955
3279,nm0493251,John Howard Lawson,writer,6.424326784089e-05,0.0033780293609837198,0.06519485951988102,0.00013344375239368,0.01719264397527483
4883,nm0399203,Lucien Hubbard,"producer,writer",0.00011777932437496001,0.00478345955716738,0.0637953382603752,7.08912772578e-05,0.017191867104793836
2005,nm0625680,Ralph Nelson,director,8.298088762781001e-05,0.0007454095812128,0.06769896555607392,0.00022768600114432002,0.017188760506514713
