,nconst,name,roles,measure
167,nm0001752,Steven Soderbergh,"director,writer,producer",0.0035006793945933433
168,nm0696299,Edward R. Pressman,producer,0.003489171528581777
169,nm0920229,H.G. Wells,writer,0.003485208411851264
170,nm0352820,Samuel Hadida,producer,0.0034780218755680733
171,nm0211823,Steven E. de Souza,"writer,director",0.0034611584750622697
172,nm0001469,Barry Levinson,"director,writer,producer",0.0034419803872433085
173,nm0360065,Chris Hanley,producer,0.003433496972914974
174,nm0330379,Lawrence Gordon,producer,0.003433055786383407
175,nm0005036,Gale Anne Hurd,"producer,writer",0.003415703799930398
176,nm0000318,Tim Burton,"producer,director,writer",0.0034004359064001405
177,nm0960028,Katsuhiro Ôtomo,"director,writer",0.003396740675059018
178,nm0298807,Antoine Fuqua,director,0.0033468171923923874
179,nm0368074,Shinobu Hashimoto,writer,0.0033413292412464617
180,nm0471097,Brad Krevoy,producer,0.003336842250474687
181,nm0698493,Pat Proft,"writer,director",0.003334827799382914
182,nm0498278,Stan Lee,writer,0.0032795939826125694
183,nm0393250,Kuang Ni,writer,0.0032734840585688526
184,nm0225146,Lorenzo di Bonaventura,producer,0.00325990569090457
185,nm0766262,Shimako Sato,"director,writer",0.0032558270929116625
186,nm0411110,Fumio Ishimori,writer,0.0032458921810574076
187,nm0053388,Gary Barber,producer,0.003242718825757189
188,nm0676248,Fred Olen Ray,"director,writer,producer",0.0032393304895475387
189,nm0089658,Jason Blum,producer,0.0032333809704848146
190,nm0406728,Kon Ichikawa,"director,writer",0.0032040362851945147
191,nm0775055,Leonard Schrader,"writer,director",0.0031987673768197914
192,nm0854185,Miguel Tejada-Flores,"writer,producer",0.0031768115996790554
193,nm0744839,Eric Roth,writer,0.0031759438113910486
194,nm0003226,Kenji Mizoguchi,"director,writer",0.003169028510775068
195,nm0002089,Sidney J. Furie,"writer,director",0.003148985564933639
196,nm0001328,Howard Hawks,"director,writer",0.003107772416627252
197,nm0209569,Dino De Laurentiis,producer,0.003066270310780697
198,nm0005509,Jon Turteltaub,director,0.0030658549878477457
199,nm0001382,Peter Hyams,"director,writer",0.003061272892237086
200,nm0503600,Danny Lerner,"producer,writer",0.003049950620477269
201,nm0765091,Alvin Sargent,writer,0.003046694082798768
202,nm0113360,David Brown,producer,0.0030463964104312465
203,nm0000487,Ang Lee,"director,writer",0.0030455895316926136
204,nm0001102,Joe Dante,"director,writer",0.0030376006514112367
205,nm0006916,Michael Ritchie,"director,writer,producer",0.0030361877407030797
206,nm0548257,Laurence Mark,producer,0.0030341589135445307
207,nm0424663,Broderick Johnson,producer,0.0030232033643818783
208,nm0175028,Richard Connell,writer,0.0030192654282391426
209,nm0163990,Greydon Clark,"director,writer",0.0030142126498259522
210,nm0648505,On Szeto,writer,0.00300706538472893
211,nm0619211,Masaichi Nagata,producer,0.0030023623779026885
212,nm0000341,Michael Crichton,"writer,director",0.0030018863335851934
213,nm0003676,C. Courtney Joyner,"writer,director",0.0029927443397412467
214,nm0795682,Lauren Shuler Donner,producer,0.0029900517318540887
215,nm0472567,Ehren Kruger,writer,0.00296295093337651
216,nm0425741,Mark Johnson,producer,0.0029620743333109065
217,nm0878638,David Twohy,"director,writer",0.0029613337504064857
218,nm0150802,Benny Chan,"director,producer",0.002940471574070725
219,nm0909556,Bill Walsh,"writer,producer",0.002929623356940531
220,nm0192446,Sean S. Cunningham,"producer,director,writer",0.0029294657171913927
221,nm0000436,Curtis Hanson,"director,producer,writer",0.0029170080011125957
222,nm0051649,Albert Band,"producer,director,writer",0.002915629264605214
223,nm0306890,Dede Gardner,producer,0.00291360261396487
224,nm0000814,John G. Avildsen,director,0.0029089100951867923
225,nm0151653,Cheh Chang,director,0.0029001441668009918
226,nm0628352,Robert F. Newmyer,producer,0.0028940518974032267
227,nm0008953,Marc Abraham,"producer,director",0.0028906249742546514
228,nm0276059,Ted Field,producer,0.002884683553606546
229,nm0064415,William Beaudine,"director,writer",0.002867926303323053
230,nm0506597,Robert L. Levy,"writer,producer",0.0028619660275087905
231,nm0284592,Mona Fong,producer,0.0028560127482310303
232,nm0636002,Edmund H. North,writer,0.0028494745096470145
233,nm0453091,Jon Kilik,producer,0.002846956816432002
