,nconst,name,roles,measure
171,nm0693281,H.C. Potter,director,0.03773929610158328
172,nm0485647,Sidney Lanfield,"director,writer",0.03758298198270452
173,nm0049898,Earl Baldwin,writer,0.037578583557602255
174,nm0421255,Talbot Jennings,writer,0.037533797730282016
175,nm0401738,Cyril Hume,writer,0.037481371083965646
176,nm0272209,Edna Ferber,writer,0.037454165724399226
177,nm0912090,Darrell Ware,writer,0.037276907375130376
178,nm0948634,Philip Yordan,writer,0.03726104506714885
179,nm0282984,Robert Florey,"director,writer",0.037244454202510775
180,nm0366454,Moss Hart,writer,0.03724142295531493
181,nm0910199,Charles Walters,director,0.03722568287812186
182,nm0002133,Ernest Hemingway,writer,0.03713018304811566
183,nm0731387,Marguerite Roberts,writer,0.03709249300119687
184,nm0258290,Phoebe Ephron,writer,0.03704537395175998
185,nm0049721,John L. Balderston,writer,0.03703648432614767
186,nm0792845,Robert E. Sherwood,writer,0.03695511890597765
187,nm0533418,Æneas MacKenzie,writer,0.03684567473723323
188,nm0001008,Frank Capra,"director,writer,producer",0.036618262647228284
189,nm0818700,Leonard Spigelgass,writer,0.036317920171227536
190,nm0101115,William Bowers,writer,0.036271997890827364
191,nm0048305,C. Graham Baker,writer,0.036260987966384974
192,nm0728307,Robert Riskin,writer,0.03625168742791593
193,nm0915693,Frank Wead,writer,0.03624948203182506
194,nm0437900,Hal Kanter,"writer,director",0.036208030924532904
195,nm0112897,Otto Brower,director,0.03612201772915983
196,nm0224634,I.A.L. Diamond,writer,0.036098057898202515
197,nm0510024,Louis D. Lighton,"producer,writer",0.03601966599451649
198,nm0272045,Frank Fenton,writer,0.03574369369359475
199,nm0058905,Sy Bartlett,"writer,producer",0.03566942970833422
200,nm0257143,Samuel G. Engel,"producer,writer",0.035651339886233445
201,nm0531335,Richard Macaulay,writer,0.03546066689152672
202,nm0257700,Ken Englund,writer,0.03526713436575355
203,nm0312510,Erwin Gelsey,writer,0.035233128307962706
204,nm0570305,William Anthony McGuire,writer,0.035193968009299595
205,nm0371771,Lillie Hayward,writer,0.03514680886285859
206,nm0175333,Myles Connolly,writer,0.034744628713231
207,nm0715723,Tom Reed,writer,0.0346445085933263
208,nm0576046,John Meehan,writer,0.03462057501378466
209,nm0366942,Don Hartman,"writer,director,producer",0.034609093518825344
210,nm0747844,J. Walter Ruben,"producer,director,writer",0.03460047534223967
211,nm0637790,Elliott Nugent,"writer,director",0.03442333562403375
212,nm0800373,S. Sylvan Simon,"director,producer",0.03436437441732887
213,nm0741439,Jack Rose,writer,0.03434713691280467
214,nm0461348,Edwin H. Knopf,"producer,director,writer",0.03434708573240451
215,nm0064415,William Beaudine,"director,writer",0.034298754766628366
216,nm0834898,Hunt Stromberg,"producer,writer",0.03428191115891647
217,nm0587277,Lewis Milestone,director,0.03426610408863916
218,nm0695937,Otto Preminger,director,0.03425257893215847
219,nm0597175,Ferenc Molnár,writer,0.033978505028257416
220,nm0523932,Ernst Lubitsch,"director,writer",0.03397762563494151
221,nm0394967,Arthur Hornblow Jr.,producer,0.03392123825706477
222,nm0512231,Howard Lindsay,writer,0.03388052489895075
223,nm0428987,Paul Jones,"producer,writer",0.033877856811950324
224,nm0128332,Jerome Cady,writer,0.03377170355817335
225,nm0823395,Lynn Starling,writer,0.033602002049170306
226,nm0750357,Damon Runyon,writer,0.03356486823940089
227,nm0118227,Sidney Buchman,writer,0.03347919849657239
228,nm0204608,Frank Davis,"writer,producer",0.03346100397686489
229,nm0780833,George Seaton,"director,writer,producer",0.03342350238478314
230,nm0000036,Buster Keaton,"writer,director",0.03336082697469757
231,nm0590361,Peter Milne,writer,0.033193974292238186
232,nm0000252,Robert Ellis,"director,writer",0.03314697655397956
233,nm0878605,John Twist,writer,0.033096273204267994
234,nm0525067,William Ludwig,writer,0.03301499990403048
235,nm0569650,Jack McGowan,writer,0.032948505958899685
236,nm0355284,Alexander Hall,director,0.03282839479145538
237,nm0802561,Curt Siodmak,"writer,director",0.03276874310733465
238,nm0564610,Mary C. McCall Jr.,writer,0.032714309979227175
239,nm0705228,Martin Rackin,"writer,producer",0.03269764536629933
240,nm0778818,Allan Scott,writer,0.03268665090634321
241,nm0385264,James Hilton,writer,0.03259484222310124
242,nm0167065,Harry Clork,writer,0.03253847127244804
243,nm0911137,Walter Wanger,producer,0.03235743375065287
244,nm0531878,Philip MacDonald,writer,0.032356500563979554
245,nm0636002,Edmund H. North,writer,0.03215419746301267
246,nm0175028,Richard Connell,writer,0.032146641283904105
247,nm0166836,Edward F. Cline,director,0.03206156206150953
248,nm0712947,Nicholas Ray,"director,writer",0.03204819725004467
249,nm0280234,F. Scott Fitzgerald,writer,0.03200586486422649
250,nm0543243,Bruce Manning,"writer,director",0.03192170125748248
251,nm0852313,Dwight Taylor,writer,0.031754291227743474
252,nm0308604,Robert Carson,writer,0.03168718282703896
253,nm0916139,James R. Webb,writer,0.0315950532956838
254,nm0267868,Joseph Farnham,writer,0.03150417318317644
255,nm0792605,Vincent Sherman,"writer,director",0.03149417460130217
256,nm0562372,Edwin Justus Mayer,writer,0.03134959446200386
257,nm0115482,George Bruce,writer,0.031344460514254206
258,nm0092915,Richard Boleslawski,director,0.031243217166270335
259,nm0281556,Walter Reisch,writer,0.031236708820340013
260,nm0274923,Walter Ferris,writer,0.031196785479571464
261,nm0791084,Sidney Sheldon,"writer,director",0.03117038665863723
262,nm0589616,Bertram Millhauser,writer,0.03082042892281093
263,nm0337586,Alfred E. Green,director,0.03077619699609857
264,nm0541149,Rouben Mamoulian,director,0.030682674109309815
265,nm0313876,Gerald Geraghty,writer,0.030646169492976744
266,nm0192325,Jack Cunningham,writer,0.03063735674407145
267,nm0918318,Lawrence Weingarten,producer,0.03055765208937068
268,nm0448839,Robert E. Kent,"writer,producer",0.030495196326807972
269,nm0740537,Wells Root,writer,0.03040363163283628
270,nm0770196,Dore Schary,"writer,producer,director",0.030401082740750634
271,nm0956547,Sam Zimbalist,producer,0.03028634297539543
272,nm0505610,Henry Levin,director,0.030266467421548607
273,nm0524995,Edward Ludwig,"director,writer",0.03025292932051867
274,nm0280223,Edith Fitzgerald,writer,0.030206244461116635
275,nm0125636,Edward Buzzell,director,0.02988100673211199
276,nm0123194,Edgar Rice Burroughs,writer,0.02975795806819668
277,nm0943449,Sol M. Wurtzel,producer,0.02974842877736891
278,nm0277943,Fred F. Finklehoffe,writer,0.029742565571980538
279,nm0818415,Bella Spewack,writer,0.029697224617924685
280,nm0522871,Edward T. Lowe Jr.,"writer,producer",0.029683264209669758
281,nm0552289,Francis Martin,writer,0.029648535124934254
282,nm0778636,Kathryn Scola,writer,0.029619119417197425
283,nm0477437,Peter B. Kyne,writer,0.02961299470729083
284,nm0229424,Edward Dmytryk,director,0.029554917127220994
285,nm0514822,Anatole Litvak,director,0.02955437426527104
286,nm0394267,Robert E. Hopkins,writer,0.029539606501833935
287,nm0375446,Mark Hellinger,"producer,writer",0.029538728044361032
288,nm0517567,Helen Logan,writer,0.029497076783492053
289,nm0458934,Philip Klein,"writer,producer",0.029490866822472716
290,nm0809548,Paul Gerard Smith,writer,0.029378737104385245
291,nm0291035,Melvin Frank,"writer,director",0.029226838980807437
292,nm0781292,Edward Sedgwick,director,0.029211353059618392
293,nm0821472,John M. Stahl,"director,producer",0.029208448317921264
294,nm0782597,Lewis Seiler,director,0.029186137028824537
295,nm0806448,Edward Small,producer,0.029178037327279704
296,nm0782707,George B. Seitz,"director,writer",0.02914799274650992
297,nm0802563,Robert Siodmak,"director,writer",0.02910791627633538
298,nm0744035,Robert Rossen,"writer,director,producer",0.029105342641785267
299,nm0491076,S.K. Lauren,writer,0.029072863504451697
300,nm0513529,William R. Lipman,writer,0.028903585816288695
301,nm0746740,Roy Rowland,director,0.02887105230860841
302,nm0515979,Frank Lloyd,"producer,director",0.028778591729762416
303,nm0949130,Dorothy Yost,writer,0.02870053560187756
304,nm0151949,Roy Chanslor,writer,0.028645219800665537
305,nm0718469,Charles Reisner,"director,producer",0.028626364347514133
306,nm0321891,Kubec Glasmon,writer,0.028561639492978106
