,nconst,name,roles,measure
71,nm0608378,David Moscow,director,0.3333333333333333
72,nm2565760,Ryan Dixon,writer,0.3269230769230769
73,nm2242713,Alex Theurer,writer,0.3269230769230769
74,nm0730361,Jack Henry Robbins,director,0.3269230769230769
75,nm0321040,Nena Girsch,writer,0.3269230769230769
76,nm2300570,J.D. Dillard,director,0.3269230769230769
77,nm0001801,Robert Towne,"writer,director",0.2616855557110209
78,nm0204862,John Davis,producer,0.26101114605236225
79,nm0000229,Steven Spielberg,"director,producer,writer",0.2609164721310256
80,nm0281507,Richard Fleischer,director,0.2578089820524367
81,nm0005573,Richard D. Zanuck,producer,0.2572652159160729
82,nm0004976,Brian Grazer,"producer,writer",0.25718974321363414
83,nm0586969,Arnon Milchan,producer,0.25706955007788873
84,nm0000339,Roger Corman,"director,producer,writer",0.2565828585016966
85,nm0324875,Menahem Golan,"producer,director,writer",0.256369484958146
86,nm0083696,Roger Birnbaum,producer,0.2562641016506353
87,nm0001353,Walter Hill,"director,producer,writer",0.25579911007367423
88,nm0372942,Ben Hecht,"writer,director",0.25569652557512124
89,nm0462895,David Koepp,"writer,director",0.2555986807339784
90,nm0322946,Yoram Globus,producer,0.25554978638901793
91,nm0000636,William Shakespeare,writer,0.2552475229508048
92,nm0005563,Irwin Winkler,"producer,director",0.2552173359291134
93,nm0005428,Joel Silver,producer,0.2550410007454681
94,nm0326040,Akiva Goldsman,"writer,producer",0.2545019096261487
95,nm0001486,Sidney Lumet,director,0.25318809057516495
96,nm0001279,William Goldman,writer,0.2530784566670576
97,nm0748784,Scott Rudin,producer,0.2528389631926169
