,Film,In-Degree Centrality,Country,tconst,Year
91,Lethal Weapon (1987),0.003084214089592658,USA,tt0093409,1987
92,Poltergeist (1982),0.003084214089592658,USA,tt0084516,1982
93,West Side Story (1961),0.0030089893557001543,USA,tt0055614,1961
94,The Blair Witch Project (1999),0.0030089893557001543,USA,tt0185937,1999
95,Butch Cassidy and the Sundance Kid (1969),0.002971376988753902,USA,tt0064115,1969
96,Gremlins (1984),0.002971376988753902,USA,tt0087363,1984
97,Lawrence of Arabia (1962),0.002971376988753902,USA,tt0056172,1962
98,Rain Man (1988),0.0029337646218076502,USA,tt0095953,1988
99,Scream (1996),0.0028961522548613984,USA,tt0117571,1996
100,Deep Throat (1972),0.0028585398879151466,USA,tt0068468,1972
101,Fight Club (1999),0.0028585398879151466,USA,tt0137523,1999
102,The Wolf Man (1941),0.0028585398879151466,USA,tt0034398,1941
103,Pinocchio (1940),0.0027833151540226425,USA,tt0032910,1940
104,Midnight Cowboy (1969),0.0027457027870763906,USA,tt0064665,1969
105,The Godfather: Part II (1974),0.0027457027870763906,USA,tt0071562,1974
106,Creature from the Black Lagoon (1954),0.0027457027870763906,USA,tt0046876,1954
107,The Seven Year Itch (1955),0.002670478053183887,USA,tt0048605,1955
108,The Invisible Man (1933),0.002670478053183887,USA,tt0024184,1933
109,Bonnie and Clyde (1967),0.002595253319291383,USA,tt0061418,1967
110,Shaft (1971),0.002595253319291383,USA,tt0067741,1971
111,The Shawshank Redemption (1994),0.002557640952345131,USA,tt0111161,1994
112,Grease (1978),0.002557640952345131,USA,tt0077631,1978
113,The Day the Earth Stood Still (1951),0.0025200285853988792,USA,tt0043456,1951
114,A Streetcar Named Desire (1951),0.002482416218452627,USA,tt0044081,1951
115,The Searchers (1956),0.002482416218452627,USA,tt0049730,1956
116,Willy Wonka & the Chocolate Factory (1971),0.002482416218452627,USA,tt0067992,1971
117,Toy Story (1995),0.002482416218452627,USA,tt0114709,1995
118,Invasion of the Body Snatchers (1956),0.002482416218452627,USA,tt0049366,1956
119,Chinatown (1974),0.002482416218452627,USA,tt0071315,1974
120,Men in Black (1997),0.002444803851506375,USA,tt0119654,1997
121,The Great Escape (1963),0.002444803851506375,USA,tt0057115,1963
122,The Treasure of the Sierra Madre (1948),0.002444803851506375,USA,tt0040897,1948
123,This Is Spinal Tap (1984),0.0024071914845601233,USA,tt0088258,1984
124,Ben-Hur (1959),0.0024071914845601233,USA,tt0052618,1959
125,Raging Bull (1980),0.0024071914845601233,USA,tt0081398,1980
126,Friday the 13th Part III (1982),0.0023695791176138715,USA,tt0083972,1982
127,Rambo: First Blood Part II (1985),0.0023695791176138715,USA,tt0089880,1985
128,The Breakfast Club (1985),0.0023319667506676196,USA,tt0088847,1985
