tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0032644,It's a Date (1940),USA,0.0001128371008387,4.89739127556572e-05,0.0,5.3937004531452405e-05
tt0080097,The Villain (1979),USA,0.0001128371008387,4.4733292574028576e-05,4.20532463506108e-06,5.3925239349263224e-05
tt0488870,Always san-chôme no yûhi (2005),Japan,0.0001128371008387,4.892457656750273e-05,4.24423007743759e-09,5.392197387876006e-05
tt0038321,Badman's Territory (1946),USA,0.0001128371008387,4.892457656750273e-05,0.0,5.392055913540091e-05
tt0122143,The Last Broadcast (1998),USA,0.0001128371008387,4.882494181477223e-05,0.0,5.388734755115741e-05
tt0079227,Good Guys Wear Black (1978),USA,0.0001128371008387,4.87923896779585e-05,0.0,5.387649683888616e-05
tt0165499,Fung wan: Hung ba tin ha (1998),Hong Kong,0.0001128371008387,4.869765970146511e-05,0.0,5.384492018005503e-05
tt0293715,Yeopgijeogin geunyeo (2001),South Korea,0.0001128371008387,3.90912879268977e-05,9.57880864361113e-06,5.3835732469736274e-05
tt0049830,The Teahouse of the August Moon (1956),USA,0.0001128371008387,4.859961331402549e-05,0.0,5.38122380509085e-05
tt0009150,Hearts of the World (1918),USA,0.0001128371008387,4.851550157827129e-05,0.0,5.3784200805657095e-05
tt0162914,A Coming of Angels (1977),USA,0.0001128371008387,4.8501334276006366e-05,0.0,5.3779478371568785e-05
tt0023291,Okay America! (1932),USA,0.0001128371008387,4.842246096154125e-05,0.0,5.3753187266747084e-05
tt0124404,Dirty Susan (1977),USA,0.0001128371008387,4.833736676484465e-05,0.0,5.372482253451489e-05
tt0112570,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",USA,0.0001128371008387,4.597549031201943e-05,2.2763220648656945e-06,5.3696304405195036e-05
tt0030792,Stars Over Arizona (1937),USA,0.0001128371008387,4.823735307335355e-05,0.0,5.369148463735118e-05
tt0040202,Call Northside 777 (1948),USA,0.0001128371008387,4.813887393124547e-05,0.0,5.365865825664849e-05
tt0106500,CB4 (1993),USA,7.522473389250385e-05,4.623025254438082e-05,3.941803175486817e-05,5.3624339397250945e-05
tt0111797,Yin shi nan nu (1994),"Taiwan,USA",0.0001128371008387,4.787553707726056e-05,1.1617400884186117e-07,5.360960397493414e-05
tt1951264,The Hunger Games: Catching Fire (2013),USA,0.0001128371008387,3.617030314992905e-05,1.1635920142112262e-05,5.3547774710247106e-05
tt0125432,Navy Spy (1937),USA,0.0001128371008387,4.777253194423047e-05,1.4147433591458635e-09,5.3537015842096534e-05
tt0109688,Dung che sai duk (1994),"Hong Kong,Taiwan",0.0001128371008387,4.761609182364247e-05,1.1317946873166908e-08,5.348817020307188e-05
tt0106664,The Dark Half (1993),USA,0.0001128371008387,4.432301014105517e-05,3.283553667768113e-06,5.3481221549174424e-05
tt0405296,A Scanner Darkly (2006),USA,0.0001128371008387,3.588217114464513e-05,1.1646061379847568e-05,5.345511112106423e-05
tt0033167,Tin Pan Alley (1940),USA,0.0001128371008387,4.750992529850589e-05,0.0,5.344900871240196e-05
tt0252178,10 Days in a Nudist Camp (1952),USA,0.0001128371008387,4.7460216190172944e-05,0.0,5.3432439009624314e-05
tt1790864,The Maze Runner (2014),USA,0.0001128371008387,4.636645457750506e-05,1.0768910945215058e-06,5.342681550357552e-05
tt0032467,The Fighting 69th (1940),USA,0.0001128371008387,4.730637527559429e-05,0.0,5.338115870476476e-05
tt0121481,Lin Ya Zhen (1978),Hong Kong,0.0001128371008387,4.713625012185172e-05,0.0,5.3324450320183906e-05
