,Film,PageRank Score,Country,tconst,Year
2653,Soul Plane (2004),4.850310660290528e-05,USA,tt0367085,2004
2654,A Coming of Angels (1977),4.8501334276006366e-05,USA,tt0162914,1977
2655,Otoko wa tsurai yo: Torajiro komoriuta (1974),4.848841752752626e-05,Japan,tt0071955,1974
2656,Under Two Flags (1916),4.84646280472328e-05,USA,tt0007498,1916
2657,Fried Green Tomatoes (1991),4.843310129183501e-05,USA,tt0101921,1991
2658,Okay America! (1932),4.842246096154125e-05,USA,tt0023291,1932
2659,Poor Albert and Little Annie (1972),4.8419777855324835e-05,USA,tt0071639,1972
2660,The Wild Angels (1966),4.8418387792444176e-05,USA,tt0061189,1966
2661,Mission: Impossible II (2000),4.8416899019904926e-05,USA,tt0120755,2000
2662,The Candidate (1972),4.8408020685020714e-05,USA,tt0068334,1972
2663,Big Business (1937),4.840430972160723e-05,USA,tt0028627,1937
2664,Shin santo juyaku: teishu kyo iku no maki (1960),4.839813433968741e-05,Japan,tt0204623,1960
2665,The Haunting (1999),4.839571038793284e-05,USA,tt0171363,1999
2666,Set It Off (1996),4.83424686041641e-05,USA,tt0117603,1996
2667,Dirty Susan (1977),4.833736676484465e-05,USA,tt0124404,1977
2668,J. Lyle (1994),4.8321348542238576e-05,USA,tt0110172,1994
2669,SF: Episode One (1998),4.831101421002594e-05,Japan,tt0170544,1998
2670,Four Jacks and a Jill (1942),4.829154266629482e-05,USA,tt0034751,1942
2671,La donna bianca (1931),4.8281617326897284e-05,USA,tt0211337,1931
2672,Back to the Future Part III (1990),4.8238476347444983e-05,USA,tt0099088,1990
2673,Stars Over Arizona (1937),4.823735307335355e-05,USA,tt0030792,1937
2674,Ma and Pa Kettle Go to Town (1950),4.823427398650885e-05,USA,tt0042697,1950
2675,Coyote Ugly (2000),4.822782054801081e-05,USA,tt0200550,2000
2676,Se ying diu sau (1978),4.821436836009471e-05,Hong Kong,tt0078252,1978
2677,Satsujin ken 2 (1974),4.8202172135113404e-05,Japan,tt0073623,1974
2678,Man of La Mancha (1972),4.819266332596677e-05,USA,tt0068909,1972
2679,Furyô banchô: Inoshika Ochô (1969),4.8191845167093456e-05,Japan,tt0204333,1969
2680,Jingi naki tatakai: Dairi sensô (1973),4.8183062364754456e-05,Japan,tt0070244,1973
2681,Swedish Erotica 29 (1981),4.8170778542383375e-05,USA,tt0224194,1981
2682,Dead or Alive: Hanzaisha (1999),4.8163822290033786e-05,Japan,tt0221111,1999
2683,Rock Around the Clock (1956),4.816256908258594e-05,USA,tt0049682,1956
2684,Call Northside 777 (1948),4.813887393124547e-05,USA,tt0040202,1948
2685,Deep Impact (1998),4.80886230680434e-05,USA,tt0120647,1998
2686,Beneath the Planet of the Apes (1970),4.8077033262597064e-05,USA,tt0065462,1970
2687,Four Rooms (1995),4.806754390385047e-05,USA,tt0113101,1995
2688,Captive Girl (1950),4.806450297710823e-05,USA,tt0042311,1950
2689,The Spanish Main (1945),4.8052952674390954e-05,USA,tt0038108,1945
2690,Party Girl (1958),4.794815367847342e-05,USA,tt0052050,1958
2691,Make Mine Music (1946),4.792719284273871e-05,USA,tt0038718,1946
2692,Yin shi nan nu (1994),4.787553707726056e-05,"Taiwan,USA",tt0111797,1994
2693,Cactus Flower (1969),4.7832825288803834e-05,USA,tt0064117,1969
2694,Gold Rush Maisie (1940),4.783189235815606e-05,USA,tt0032539,1940
2695,George Washington Slept Here (1942),4.7826840960209136e-05,USA,tt0034780,1942
2696,Gyangu tai G-men (1962),4.782547974636509e-05,Japan,tt0056006,1962
2697,Go West (1940),4.781063102168533e-05,USA,tt0032536,1940
2698,Navy Spy (1937),4.777253194423047e-05,USA,tt0125432,1937
2699,Incendiary Blonde (1945),4.777095849910802e-05,USA,tt0037816,1945
2700,Jigoku no banken: akai megane (1987),4.776226763766477e-05,Japan,tt0228456,1987
2701,The Sand Pebbles (1966),4.77602871670409e-05,USA,tt0060934,1966
2702,Superman Returns (2006),4.775186579225655e-05,USA,tt0348150,2006
2703,The Black Stallion (1979),4.7743353319264654e-05,USA,tt0078872,1979
2704,The Game (1997),4.772431451303336e-05,USA,tt16673588,1997
2705,The House on Sorority Row (1983),4.772136817489548e-05,USA,tt0085694,1983
2706,The Great Santini (1979),4.771868035926617e-05,USA,tt0079239,1979
2707,Heroes of the Hills (1938),4.768864743995615e-05,USA,tt0030230,1938
2708,Homicidal (1961),4.7643370198776105e-05,USA,tt0054988,1961
2709,They Call Me Mister Tibbs! (1970),4.763709215983003e-05,USA,tt0066450,1970
2710,Jeremiah Johnson (1972),4.7629432189990604e-05,USA,tt0068762,1972
2711,Tropic of Passion (1973),4.762424297171904e-05,USA,tt0129462,1973
2712,Dung che sai duk (1994),4.761609182364247e-05,"Hong Kong,Taiwan",tt0109688,1994
2713,Night of the Ghouls (1959),4.761416541988927e-05,USA,tt0156843,1959
2714,White Eagle (1932),4.758111739897736e-05,USA,tt0023693,1932
2715,Buffy the Vampire Slayer (1992),4.756181745403573e-05,USA,tt0103893,1992
2716,In Old Chicago (1937),4.753739723468016e-05,USA,tt0029047,1937
2717,Tsuribaka nisshi 6 (1993),4.7535992830942166e-05,Japan,tt0372000,1993
2718,Meitantei Conan: Bekâ Sutorîto no bôrei (2002),4.7535992830942166e-05,Japan,tt0990372,2002
2719,Hells Angels on Wheels (1967),4.751480455879702e-05,USA,tt0061758,1967
2720,Tin Pan Alley (1940),4.750992529850589e-05,USA,tt0033167,1940
2721,Ngo si seoi (1998),4.750399928191789e-05,Hong Kong,tt0127357,1998
2722,Teenagers from Outer Space (1959),4.749752547479553e-05,USA,tt0053337,1959
2723,Koroshiya 1 (2001),4.749308156824894e-05,Japan,tt0296042,2001
2724,Confidential Agent (1945),4.7479190029987105e-05,USA,tt0037610,1945
2725,The Walking Dead (1936),4.747281246465668e-05,USA,tt0028478,1936
2726,Forbidden Trails (1941),4.74691556059652e-05,USA,tt0033619,1941
2727,I Still Know What You Did Last Summer (1998),4.746161545518501e-05,USA,tt0130018,1998
2728,10 Days in a Nudist Camp (1952),4.7460216190172944e-05,USA,tt0252178,1952
2729,Open Season (2006),4.745724939329497e-05,USA,tt0400717,2006
2730,America America (1963),4.7448691029921914e-05,USA,tt0056825,1963
2731,The Cheat (1915),4.7438061157824216e-05,USA,tt0321638,1915
2732,Madame X (1929),4.741650650434234e-05,USA,tt0020126,1929
2733,G.I. Jane (1997),4.741309824461196e-05,USA,tt0119173,1997
2734,Vigilante (1983),4.7391005284802266e-05,USA,tt0084867,1983
2735,Road to Zanzibar (1941),4.73825168818957e-05,USA,tt0034116,1941
2736,Sorority House Massacre (1986),4.736087009841476e-05,USA,tt0091990,1986
2737,Three the Hard Way (1974),4.735581016580062e-05,USA,tt0072284,1974
2738,Swooped: Based on a Real Life Occurrence (2011),4.73497764127735e-05,USA,tt1409805,2011
2739,The Great Impostor (1961),4.734281714575935e-05,USA,tt0053879,1961
2740,The Parallax View (1974),4.7338441037702906e-05,USA,tt0071970,1974
2741,The Fighting 69th (1940),4.730637527559429e-05,USA,tt0032467,1940
2742,Out West with the Hardys (1938),4.7302931122038165e-05,USA,tt0030535,1938
2743,10 to Midnight (1983),4.727728277560101e-05,USA,tt0085121,1983
2744,The Pajama Game (1957),4.7217367413955236e-05,USA,tt0050814,1957
2745,The LEGO Movie (2014),4.7189627527041105e-05,USA,tt1490017,2014
2746,The Bodyguard (1992),4.7165755518665574e-05,USA,tt0103855,1992
2747,Road Trip (2000),4.71642093325752e-05,USA,tt0215129,2000
2748,Ai no mukidashi (2008),4.716406609673107e-05,Japan,tt1128075,2008
2749,Lin Ya Zhen (1978),4.7136250121851715e-05,Hong Kong,tt0121481,1978
2750,Casper (1995),4.712756152844779e-05,USA,tt0112642,1995
2751,Mak Dau goo si (2001),4.7106383681290094e-05,Hong Kong,tt0312941,2001
2752,Jackie Brown (1997),4.7087152813291384e-05,USA,tt0119396,1997
2753,Seppuku (1962),4.707846236406844e-05,Japan,tt0056058,1962
2754,God's Army (2000),4.707763153034643e-05,USA,tt0238247,2000
2755,King of Burlesque (1936),4.706773940611376e-05,USA,tt0026571,1936
2756,A Face in the Crowd (1957),4.706772925023498e-05,USA,tt0050371,1957
2757,The Hangover (2009),4.7037326129989954e-05,USA,tt1119646,2009
2758,This Is Cinerama (1952),4.7036053761418794e-05,USA,tt0045231,1952
2759,Beginning of the End (1957),4.7015093972682205e-05,USA,tt0050177,1957
2760,Xiao cheng zhi chun (1948),4.698701109706526e-05,China,tt0189219,1948
2761,Shadows in the Night (1944),4.698216106678238e-05,USA,tt0037266,1944
2762,No Way Back (1976),4.695275173472807e-05,USA,tt0074969,1976
2763,Free and Easy (1930),4.69312846712312e-05,USA,tt0020902,1930
2764,In the Land of the Head Hunters (1914),4.6919187911354814e-05,USA,tt0004150,1914
2765,Two-Fisted Law (1932),4.6907484306458235e-05,USA,tt0023631,1932
2766,Forbidden World (1982),4.6895866333419944e-05,USA,tt0083959,1982
2767,How to Succeed in Business Without Really Trying (1967),4.689300810328949e-05,USA,tt0061791,1967
2768,The Bellboy (1960),4.6866846030541713e-05,USA,tt0053644,1960
2769,Kickboxer 2: The Road Back (1991),4.6823034379526314e-05,USA,tt0102202,1991
2770,Tian can di que (1979),4.6813291050481344e-05,"Taiwan,Hong Kong",tt0122029,1979
2771,Hellraiser III: Hell on Earth (1992),4.6794360200186396e-05,USA,tt0104409,1992
2772,The Last Detail (1973),4.67717227319417e-05,USA,tt0070290,1973
2773,Public Enemy's Wife (1936),4.676456546602198e-05,USA,tt0028144,1936
2774,Kansas City Trucking Co. (1976),4.673040739891141e-05,USA,tt0222098,1976
2775,Dead & Buried (1981),4.672831503398028e-05,USA,tt0082242,1981
2776,Skippy (1931),4.6709180869843926e-05,USA,tt0022397,1931
2777,Some Kind of Wonderful (1987),4.670841547594198e-05,USA,tt0094006,1987
2778,8 Mile (2002),4.669180035753397e-05,USA,tt0298203,2002
2779,Hulk (2003),4.66802372366172e-05,USA,tt0286716,2003
2780,Live Free or Die Hard (2007),4.666806859013714e-05,USA,tt0337978,2007
2781,Pet Sematary (1989),4.6655532295554144e-05,USA,tt0098084,1989
2782,Anomalies: A World of Dreams (1970),4.6647300740747846e-05,USA,tt0210529,1970
2783,Gamera tai uchu kaijû Bairasu (1968),4.6643735299654735e-05,Japan,tt0063000,1968
2784,Charlie Chan at the Race Track (1936),4.663703192577842e-05,USA,tt0027441,1936
2785,Irma la Douce (1963),4.662921107436268e-05,USA,tt0057187,1963
2786,Spooks Run Wild (1941),4.6623945592870604e-05,USA,tt0034224,1941
2787,The X Files (1998),4.661598747656845e-05,USA,tt0120902,1998
2788,The Doberman Gang (1972),4.6612126495818425e-05,USA,tt0068491,1972
2789,Variety Girl (1947),4.661201170990544e-05,USA,tt0039951,1947
2790,Act of Vengeance (1974),4.6591449046370666e-05,USA,tt0072067,1974
2791,Encino Man (1992),4.658350197009478e-05,USA,tt0104187,1992
2792,Teito monogatari (1988),4.653569180035524e-05,Japan,tt0096240,1988
2793,The Outlaws Is Coming (1965),4.652945250831409e-05,USA,tt0059558,1965
2794,Gaslight (1944),4.652722679250778e-05,USA,tt0036855,1944
2795,Batman v Superman: Dawn of Justice (2016),4.652274861364227e-05,USA,tt2975590,2016
2796,Million Dollar Baby (2004),4.652043702455091e-05,USA,tt0405159,2004
2797,Grindhouse (2007),4.65013580514166e-05,USA,tt0462322,2007
2798,Heroes of the West (1932),4.6492218373397464e-05,USA,tt0023000,1932
2799,Robot Monster (1953),4.645744358570989e-05,USA,tt0046248,1953
2800,Crooked Alley (1923),4.6456368111666756e-05,USA,tt0013959,1923
2801,Hong Xi Guan (1977),4.6425863297273305e-05,Hong Kong,tt0076168,1977
2802,The Window (1949),4.640696121284581e-05,USA,tt0042046,1949
2803,The Maze Runner (2014),4.636645457750506e-05,USA,tt1790864,2014
2804,Sonatine (1993),4.636398253337834e-05,Japan,tt0108188,1993
2805,Sorority House Massacre II (1990),4.634275789200725e-05,USA,tt0100663,1990
2806,Bridget Jones's Diary (2001),4.633915945081915e-05,USA,tt0243155,2001
2807,Disturbia (2007),4.6325695216050474e-05,USA,tt0486822,2007
2808,36 Hours (1964),4.63044495191252e-05,USA,tt0057809,1964
2809,The Golden Voyage of Sinbad (1973),4.6299753803209514e-05,USA,tt0071569,1973
2810,Rudy (1993),4.629135473324866e-05,USA,tt0108002,1993
2811,Nightdreams (1981),4.628276507856884e-05,USA,tt0253320,1981
2812,Indecent Proposal (1993),4.6278226616689e-05,USA,tt0107211,1993
2813,My Girl (1991),4.627385438476057e-05,USA,tt0102492,1991
2814,The Valley of Decision (1945),4.626634175397985e-05,USA,tt0038213,1945
2815,Onna kyôshi: dôtei-gari (1976),4.6264522026465616e-05,Japan,tt0285832,1976
2816,The Prestige (2006),4.6245722574998535e-05,USA,tt0482571,2006
2817,School Daze (1988),4.6244869333252106e-05,USA,tt0096054,1988
2818,CB4 (1993),4.623025254438082e-05,USA,tt0106500,1993
2819,The Breaking Point (1950),4.6228734212646754e-05,USA,tt0042281,1950
2820,The Serpent and the Rainbow (1988),4.6209105359751574e-05,USA,tt0096071,1988
2821,Taki no shiraito (1933),4.62087156019302e-05,Japan,tt0024641,1933
2822,The Naked Prey (1965),4.6187846655453276e-05,USA,tt0060736,1965
2823,The Astounding She-Monster (1957),4.618561720494957e-05,USA,tt0050143,1957
2824,Chip of the Flying U (1926),4.6170709495644635e-05,USA,tt0016724,1926
2825,Pickup on South Street (1953),4.617047318303216e-05,USA,tt0046187,1953
2826,Hopalong Cassidy Returns (1936),4.6167250345305216e-05,USA,tt0027760,1936
2827,Black Belt Jones (1974),4.616111765748431e-05,USA,tt0071221,1974
2828,Shiloh (1996),4.615579814449019e-05,USA,tt0120118,1996
2829,Shinpan Ôoka seidan: Dai-ippen (1928),4.613067449653863e-05,Japan,tt0200132,1928
2830,Terminator 3: Rise of the Machines (2003),4.612965683017018e-05,USA,tt0181852,2003
2831,Buffalo '66 (1998),4.610651862602191e-05,USA,tt0118789,1998
2832,Star 80 (1983),4.609965573176915e-05,USA,tt0086355,1983
2833,Every Little Crook and Nanny (1972),4.606127771414493e-05,USA,tt0068553,1972
2834,Wrangler's Roost (1941),4.603570851070393e-05,USA,tt0034403,1941
2835,Anchorman: The Legend of Ron Burgundy (2004),4.602798174988197e-05,USA,tt0357413,2004
2836,El Dorado (1967),4.601957392974173e-05,USA,tt0061619,1967
2837,Frankenstein Reborn (2005),4.601926209405107e-05,USA,tt0460800,2005
2838,Crash! Che botte... strippo strappo stroppio (1973),4.601885002858942e-05,Hong Kong,tt0167840,1973
2839,Wong ga jin si (1986),4.59885911908741e-05,Hong Kong,tt0091229,1986
2840,Cat-Women of the Moon (1953),4.598675106607023e-05,USA,tt0045609,1953
2841,The Vampire Lovers (1970),4.597836954046643e-05,USA,tt0066518,1970
2842,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",4.5975490312019426e-05,USA,tt0112570,1994
2843,Daisan no akumyo (1963),4.596555990336722e-05,Japan,tt0223082,1963
2844,The Falcon Strikes Back (1943),4.596555990336722e-05,USA,tt0035854,1943
2845,That Touch of Mink (1962),4.59576253253666e-05,USA,tt0056575,1962
2846,Planet Terror (2007),4.594704801511186e-05,USA,tt1077258,2007
2847,Harper Valley P.T.A. (1978),4.590843644118196e-05,USA,tt0077660,1978
2848,The Aviator (1929),4.590843644118196e-05,USA,tt0019664,1929
2849,No Man of Her Own (1950),4.590843644118196e-05,USA,tt0041694,1950
2850,Blood Slaughter Massacre (2013),4.590843644118196e-05,USA,tt2551510,2013
2851,Evening Clothes (1927),4.590843644118196e-05,USA,tt0017856,1927
2852,Asatte Dansu (1991),4.590843644118196e-05,Japan,tt3916760,1991
2853,Wakai hito (1937),4.590843644118196e-05,Japan,tt0324491,1937
2854,Batman and Robin (1949),4.590843644118196e-05,USA,tt0041162,1949
2855,Littlerock (2010),4.590843644118196e-05,USA,tt1608285,2010
2856,Those Who Dance (1924),4.590843644118196e-05,USA,tt0015403,1924
2857,Bureau of Missing Persons (1933),4.590843644118196e-05,USA,tt0023856,1933
2858,The Witching Hour (1916),4.590843644118196e-05,USA,tt0007576,1916
2859,Beatlemania (1981),4.590843644118196e-05,USA,tt0082052,1981
2860,Anne of Green Gables (1934),4.590843644118196e-05,USA,tt0024831,1934
2861,Chat kam chat jung chat sik long (1970),4.590843644118196e-05,Hong Kong,tt0940879,1970
2862,He Was Her Man (1934),4.590843644118196e-05,USA,tt0025226,1934
2863,Bao gao ban zhang (1987),4.590843644118196e-05,Taiwan,tt0207322,1987
2864,Hi no ataru sakamichi (1958),4.590843644118196e-05,Japan,tt0269324,1958
2865,Ani imôto (1936),4.590843644118196e-05,Japan,tt0396451,1936
2866,Outlaws of the Rockies (1945),4.590843644118196e-05,USA,tt0037965,1945
2867,King of Jazz (1930),4.590843644118196e-05,USA,tt0021025,1930
2868,Himeyuri no Tô (1953),4.590843644118196e-05,Japan,tt0128250,1953
2869,Bomnaleun ganda (2001),4.590843644118196e-05,"South Korea,Japan,Hong Kong",tt0295192,2001
2870,The Lady in Ermine (1927),4.590843644118196e-05,USA,tt0018074,1927
2871,The Ivory-Handled Gun (1935),4.590843644118196e-05,USA,tt0026541,1935
2872,"New York, I Love You (2008)",4.590843644118196e-05,USA,tt0808399,2008
2873,Bigfoot Lives (2007),4.590843644118196e-05,USA,tt1394174,2007
2874,Lightnin' Bill Carson (1936),4.590843644118196e-05,USA,tt0027886,1936
2875,Chorok mulkogi (1997),4.590843644118196e-05,South Korea,tt0126838,1997
2876,All Hallows' Eve (2013),4.590843644118196e-05,USA,tt4906686,2013
2877,Daehakyalgae (1982),4.590843644118196e-05,South Korea,tt0310966,1982
2878,Criminally Insane (1975),4.590843644118196e-05,USA,tt0072831,1975
2879,Santa Fe Trail (1940),4.590843644118196e-05,USA,tt0033021,1940
2880,Friends with Benefits (2011),4.590843644118196e-05,USA,tt1632708,2011
2881,Court-Martial (1928),4.590843644118196e-05,USA,tt0018797,1928
2882,Nijûshi no hitomi (1954),4.590843644118196e-05,Japan,tt0047281,1954
2883,Fighting Caravans (1931),4.590843644118196e-05,USA,tt0021861,1931
2884,The Last Man on Earth (1924),4.590843644118196e-05,USA,tt0015051,1924
2885,Blue Vengeance (1989),4.590843644118196e-05,USA,tt0205779,1989
2886,"Expose Me, Lovely (1976)",4.590843644118196e-05,USA,tt0074507,1976
2887,Chun-hie (1959),4.590843644118196e-05,South Korea,tt0387933,1959
2888,Twilight's Last Gleaming (1977),4.590843644118196e-05,USA,tt0076845,1977
2889,Meoto zenzai (1955),4.590843644118196e-05,Japan,tt0229577,1955
2890,Mega Shark vs. Mecha Shark (2014),4.590843644118196e-05,USA,tt3152098,2014
2891,Gojira tai Megaro (1973),4.588191108402539e-05,Japan,tt0070122,1973
2892,The Thrill Killers (1964),4.586210164137199e-05,USA,tt0058653,1964
2893,The Naked Gun: From the Files of Police Squad! (1988),4.585812638159731e-05,USA,tt0095705,1988
2894,Krull (1983),4.585432241368558e-05,USA,tt0085811,1983
2895,Curse of the Pink Panther (1983),4.5831339449278225e-05,USA,tt0085384,1983
2896,The Case of the Black Cat (1936),4.581963766616191e-05,USA,tt0027428,1936
2897,Tales of Terror (1962),4.579050629274349e-05,USA,tt0056552,1962
2898,Eat Pray Love (2010),4.5790456210405974e-05,USA,tt0879870,2010
2899,Rush Hour (1998),4.5763631107163676e-05,USA,tt0120812,1998
2900,Angels in Disguise (1949),4.5760731050223255e-05,USA,tt0041124,1949
2901,The Brave Little Toaster (1987),4.574039742343299e-05,"USA,Taiwan,Japan",tt0092695,1987
2902,The Lone Rider Ambushed (1941),4.573237609082387e-05,USA,tt0033841,1941
2903,Otoko wa tsurai yo: Torajiro aiaigasa (1975),4.571092882575986e-05,Japan,tt0073498,1975
2904,Leaving Las Vegas (1995),4.570574657973791e-05,USA,tt0113627,1995
2905,Seven Chances (1925),4.568880744446807e-05,USA,tt0016332,1925
2906,Terminator Salvation (2009),4.568458804390742e-05,USA,tt0438488,2009
2907,The Sword and the Sorcerer (1982),4.568161132352385e-05,USA,tt0084749,1982
2908,Dracula (1979),4.5656786397020485e-05,USA,tt0079073,1979
2909,xXx (2002),4.561768051472937e-05,USA,tt0295701,2002
2910,The Crime of Helen Stanley (1934),4.561585307961715e-05,USA,tt0025010,1934
2911,Paper Moon (1973),4.5604804391639776e-05,USA,tt0070510,1973
2912,Swedish Erotica 30 (1981),4.558561152971686e-05,USA,tt0224195,1981
2913,Private Lessons (1981),4.556336295166849e-05,USA,tt0082948,1981
2914,A Day at the Races (1937),4.556106486180615e-05,USA,tt0028772,1937
2915,Naked Lunch (1991),4.55595221203492e-05,Japan,tt0102511,1991
2916,The Woman in the Window (1944),4.555338633788375e-05,USA,tt0037469,1944
2917,Flight of the Navigator (1986),4.550817963165017e-05,USA,tt0091059,1986
2918,Escape Me Never (1947),4.548945744192045e-05,USA,tt0039357,1947
2919,Twin Falls Idaho (1999),4.548426359603845e-05,USA,tt0162830,1999
2920,Outside the Law (1920),4.546322970530813e-05,USA,tt0012538,1920
2921,Hatari! (1962),4.5437333717533864e-05,USA,tt0056059,1962
2922,"Toby Tyler, or Ten Weeks with a Circus (1960)",4.540759662157235e-05,USA,tt0054390,1960
2923,High School Girl (1934),4.53964465284902e-05,USA,tt0026470,1934
2924,Enoken no chakkiri Kinta 'Zen' - Mamayo sandogasa - Ikiwa yoiyoi (1937),4.536981130488162e-05,Japan,tt0028833,1937
2925,Pirates of the Caribbean: At World's End (2007),4.5362281022252164e-05,USA,tt0449088,2007
2926,The Beast with Five Fingers (1946),4.535759128331739e-05,USA,tt0038338,1946
2927,Bring 'Em Back Alive (1932),4.530771259498001e-05,USA,tt0023843,1932
2928,Konketsuji Rika (1972),4.529267990013495e-05,Japan,tt0978631,1972
2929,Hannibal (2001),4.526618601229173e-05,USA,tt0212985,2001
2930,Overland Stage Raiders (1938),4.5261231715937825e-05,USA,tt0030545,1938
2931,Sssssss (1973),4.524422874784907e-05,USA,tt0070622,1973
2932,Mesubachi no chosen (1972),4.521132992965043e-05,Japan,tt0257171,1972
2933,Flipper (1963),4.520484730728021e-05,USA,tt0057063,1963
2934,Gui da gui (1980),4.519279320483272e-05,Hong Kong,tt0080827,1980
2935,Tammy Tell Me True (1961),4.5192493566343974e-05,USA,tt0055503,1961
2936,Sherlock Holmes Faces Death (1943),4.519013350924593e-05,USA,tt0036348,1943
2937,The Devil in Miss Jones Part II (1982),4.514582825632055e-05,USA,tt0083826,1982
2938,Telefon (1977),4.513239075516967e-05,USA,tt0076804,1977
2939,Lara Croft: Tomb Raider (2001),4.512973236235923e-05,"USA,Japan",tt0146316,2001
2940,Diary of a Mad Housewife (1970),4.5129348498167364e-05,USA,tt0065636,1970
2941,Rain (1932),4.5128385643834275e-05,USA,tt0023369,1932
2942,McHale's Navy (1964),4.51064588787119e-05,USA,tt0058336,1964
2943,They All Laughed (1981),4.5103417174758854e-05,USA,tt0083189,1981
2944,Freddy vs. Jason (2003),4.5091334669667886e-05,USA,tt0329101,2003
2945,Tarzan Triumphs (1943),4.5080318808237915e-05,USA,tt0036414,1943
2946,Boy on a Dolphin (1957),4.5079349756494315e-05,USA,tt0050208,1957
2947,Brubaker (1980),4.505835669573107e-05,USA,tt0080474,1980
2948,Arsène Lupin (1932),4.5029913969396624e-05,USA,tt0022639,1932
2949,The Land Before Time (1988),4.5026540238868905e-05,USA,tt0095489,1988
2950,Flaming Guns (1932),4.5007289677566756e-05,USA,tt0022896,1932
2951,The Black Hole (1979),4.4991742098330855e-05,USA,tt0078869,1979
2952,Zatoichi sekisho yaburi (1964),4.4990802020228294e-05,Japan,tt0164984,1964
2953,Varsity Blues (1999),4.498716236670634e-05,USA,tt0139699,1999
2954,Best of the Best (1989),4.497831174630506e-05,USA,tt0096913,1989
2955,Gong fen you xia (1982),4.4936956863987884e-05,Taiwan,tt0087915,1982
2956,Abbott and Costello Meet the Mummy (1955),4.4931602098806875e-05,USA,tt0047795,1955
2957,The Hunchback of Notre Dame (1996),4.49301823805574e-05,USA,tt0116583,1996
2958,Spawn of the Slithis (1978),4.4894194829811424e-05,USA,tt0078277,1978
2959,The Pink Panther Strikes Again (1976),4.483909657827062e-05,USA,tt0075066,1976
2960,The Mechanic (1972),4.4816600464790384e-05,USA,tt0068931,1972
2961,Cremaster 5 (1997),4.4809158423531195e-05,USA,tt0118898,1997
2962,"Elmer, the Great (1933)",4.478061281068776e-05,USA,tt0023982,1933
2963,Rocketship X-M (1950),4.477203637652768e-05,USA,tt0042897,1950
2964,"Yes Sir, Mr. Bones (1951)",4.4754975938144716e-05,USA,tt0044222,1951
2965,Kurenai no buta (1992),4.4747929403974094e-05,Japan,tt0104652,1992
2966,Sophie's Choice (1982),4.473696591266498e-05,USA,tt0084707,1982
2967,Terror at Black Tree Forest (2010),4.473401683586583e-05,USA,tt1993409,2010
2968,Anal Annie and the Magic Dildo (1985),4.473401683586583e-05,USA,tt0131311,1985
2969,Gam gai (2002),4.473401683586583e-05,Hong Kong,tt0354593,2002
2970,Faces of Gore (1999),4.473401683586583e-05,USA,tt0225679,1999
2971,Made Men (1999),4.473401683586583e-05,USA,tt0175877,1999
2972,Bi Xian (2012),4.473401683586583e-05,China,tt2993556,2012
2973,Chu Liu Xiang (1977),4.473401683586583e-05,Hong Kong,tt0075833,1977
2974,Blood Reunion (2012),4.473401683586583e-05,USA,tt2393737,2012
2975,Dekotora Gyaru Nami (2008),4.473401683586583e-05,Japan,tt2127268,2008
2976,Honban jukujo: Kyonyû washizukami (1994),4.473401683586583e-05,Japan,tt2126307,1994
2977,Tokyo Mafia (1995),4.473401683586583e-05,Japan,tt0310236,1995
2978,Have You Heard from Johannesburg?: Apartheid and the Club of the West (2006),4.473401683586583e-05,USA,tt0933742,2006
2979,Bonnô hibunsho - Ryûsei hen (1932),4.473401683586583e-05,Japan,tt3868104,1932
2980,Waga jinsei saiaku no toki (1993),4.473401683586583e-05,"Japan,Taiwan",tt0108509,1993
2981,Jeremy Jones' Deeper (2010),4.473401683586583e-05,USA,tt2728056,2010
2982,Jeuk sing (2005),4.473401683586583e-05,Hong Kong,tt0468771,2005
2983,Danguard Ace (2010),4.473401683586583e-05,Japan,tt1827386,2010
2984,Butch Jamie (2007),4.473401683586583e-05,USA,tt1053818,2007
2985,Gas House Kids (1946),4.473401683586583e-05,USA,tt0038550,1946
2986,The Exploits of Elaine (1914),4.473401683586583e-05,USA,tt0003897,1914
2987,River City Panic (2015),4.473401683586583e-05,USA,tt3549474,2015
2988,The Last X-rated Movie 3 (1990),4.473401683586583e-05,USA,tt0142536,1990
2989,What Happened to Jones (1915),4.473401683586583e-05,USA,tt0006253,1915
2990,Anal Intruder (1986),4.473401683586583e-05,USA,tt0180426,1986
2991,Seung lung chut hoi (1984),4.473401683586583e-05,Hong Kong,tt0088112,1984
2992,Aunt Peg (1980),4.473401683586583e-05,USA,tt0134298,1980
2993,Head Case (2007),4.473401683586583e-05,USA,tt0914805,2007
2994,The Right of Way (1915),4.473401683586583e-05,USA,tt0175121,1915
2995,Finger of God (2007),4.473401683586583e-05,USA,tt1797384,2007
2996,Hissatsu shikakenin (1973),4.473401683586583e-05,Japan,tt0070181,1973
2997,Torakku yarô: Goiken muyô (1975),4.473401683586583e-05,Japan,tt0360088,1975
2998,Wai Si-Lei chuen kei (1987),4.473401683586583e-05,Hong Kong,tt0090302,1987
2999,Hi no tori (1978),4.473401683586583e-05,Japan,tt0077673,1978
3000,The Flaming Frontier (1926),4.473401683586583e-05,USA,tt0016881,1926
3001,Love on the Hershe Highway (1989),4.473401683586583e-05,USA,tt0140152,1989
3002,The Heritage of the Desert (1924),4.473401683586583e-05,USA,tt0014984,1924
