,Film,PageRank Score,Country,tconst,Year
108,Carrie (1976),0.0006582375635583117,USA,tt0074285,1976
109,Saturday Night Fever (1977),0.0006470267428872295,USA,tt0076666,1977
110,Planet of the Apes (1968),0.0006436751715451733,USA,tt0063442,1968
111,Back to the Future (1985),0.0006405782007495962,USA,tt0088763,1985
112,Friday the 13th (1980),0.0006403210701587405,USA,tt0080761,1980
113,The Baron of Arizona (1950),0.0006356402284779827,USA,tt0042229,1950
114,The Enforcer (1951),0.0006341889254962473,USA,tt0043503,1951
115,Underworld (1927),0.0006316359804157065,USA,tt0018526,1927
116,The Philadelphia Story (1940),0.0006298301266929914,USA,tt0032904,1940
117,Forbidden Planet (1956),0.0006268979806812689,USA,tt0049223,1956
118,The Frontiersmen (1938),0.0006265532699471183,USA,tt0030161,1938
119,Sugata Sanshirô (1943),0.0006232456998070821,Japan,tt0036400,1943
120,Bonnie and Clyde (1967),0.000621164406486404,USA,tt0061418,1967
121,Twelve O'Clock High (1949),0.0006191042438368634,USA,tt0041996,1949
122,Titanic (1997),0.0006182826209495722,USA,tt0120338,1997
123,Star Wars: Episode VI - Return of the Jedi (1983),0.0006150087469118211,USA,tt0086190,1983
124,My Fair Lady (1964),0.0006128146847543532,USA,tt0058385,1964
125,Sunrise: A Song of Two Humans (1927),0.0006054857656351808,USA,tt0018455,1927
126,Superman (1978),0.0006038097748766199,USA,tt0371968,1978
127,Going My Way (1944),0.0005994242247142306,USA,tt0036872,1944
128,"Captain Carey, U.S.A. (1950)",0.0005986467089371057,USA,tt0042310,1950
129,The Ten Commandments (1923),0.0005948515508305316,USA,tt0014532,1923
130,Paths of Glory (1957),0.0005945102235319798,USA,tt0050825,1957
131,Fantastic Voyage (1966),0.0005918235335430449,USA,tt0060397,1966
132,A Christmas Carol (1938),0.0005908241718727239,USA,tt0029992,1938
133,Yôjinbô (1961),0.0005809855214734636,Japan,tt0055630,1961
134,Jurassic Park (1993),0.0005800455714564584,USA,tt0107290,1993
135,Creature from the Black Lagoon (1954),0.0005780867046794294,USA,tt0046876,1954
136,The Day the Earth Stood Still (1951),0.0005741755086420995,USA,tt0043456,1951
137,The Evil Dead (1981),0.0005740088120164309,USA,tt0083907,1981
138,Moby Dick (1956),0.000572313605158703,USA,tt0049513,1956
139,Cinderella (1950),0.0005668251585695909,USA,tt0042332,1950
140,Play Misty for Me (1971),0.0005606091856116063,USA,tt0067588,1971
141,Son of Frankenstein (1939),0.0005561791708292107,USA,tt0031951,1939
142,The Three Mesquiteers (1936),0.0005486155976214933,USA,tt0028372,1936
143,The Wild Bunch (1969),0.0005449625786058326,USA,tt0065214,1969
144,The Bells of St. Mary's (1945),0.0005443198871760291,USA,tt0037536,1945
145,Desk Set (1957),0.0005426997048161552,USA,tt0050307,1957
146,Live Wires (1946),0.0005418694849625144,USA,tt0038699,1946
147,The Karate Kid (1984),0.0005368778105660036,USA,tt0087538,1984
148,Swedish Erotica 23 (1981),0.0005367606842385808,USA,tt0188217,1981
149,Shane (1953),0.0005279808468121328,USA,tt0046303,1953
150,The House Without a Key (1926),0.0005277910675799622,USA,tt0015930,1926
151,The Ten Commandments (1956),0.0005258494690492244,USA,tt0049833,1956
152,The Incredible Torture Show (1976),0.0005250837448810794,USA,tt0077247,1976
153,Oklahoma! (1955),0.0005193379304747429,USA,tt0048445,1955
154,The Lady from Shanghai (1947),0.0005181175303452412,USA,tt0040525,1947
155,The Bat Whispers (1930),0.0005168989396542565,USA,tt0020668,1930
156,RoboCop (1987),0.0005146836781363177,USA,tt0093870,1987
157,A Streetcar Named Desire (1951),0.0005136694850670994,USA,tt0044081,1951
158,Wuthering Heights (1939),0.0005135564965177583,USA,tt0032145,1939
159,Die Hard (1988),0.0005115908551770807,USA,tt0095016,1988
160,Rebel Without a Cause (1955),0.0005103432475444276,USA,tt0048545,1955
161,Otoko wa tsurai yo (1969),0.0005087680357315994,Japan,tt0064777,1969
162,West Side Story (1961),0.0005054927972215977,USA,tt0055614,1961
163,Just Imagine (1930),0.0005031499268754299,USA,tt0021016,1930
