,Film,Out-Degree Centrality,Country,tconst,Year
72,Austin Powers: The Spy Who Shagged Me (1999),61,USA,tt0145660,1999
73,Scream (1996),61,USA,tt0117571,1996
74,A Century of Cinema (1994),60,USA,tt0109390,1994
75,Shrek (2001),60,USA,tt0126029,2001
76,Not Another Teen Movie (2001),60,USA,tt0277371,2001
77,The Slanted Screen (2006),59,USA,tt0760185,2006
78,Hollywood Mavericks (1990),59,"Japan,USA",tt0280745,1990
79,Being George Clooney (2016),58,USA,tt3562572,2016
80,The Matrix (1999),58,USA,tt0133093,1999
81,Last Action Hero (1993),58,USA,tt0107362,1993
82,Edge of Outside (2006),56,USA,tt0829160,2006
83,Mau Mau Sex Sex (2001),56,USA,tt0243408,2001
84,Mary Pickford: A Life on Film (1997),55,USA,tt0294709,1997
85,Flushed Away (2006),54,USA,tt0424095,2006
86,The Big Hit (1998),53,USA,tt0120609,1998
87,Minority Report (2002),53,USA,tt0181689,2002
88,The American Nightmare (2000),53,USA,tt0259182,2000
89,Don't Say No Until I Finish Talking: The Story of Richard D. Zanuck (2013),53,USA,tt2310814,2013
90,Drive-in Movie Memories (2001),52,USA,tt0298309,2001
91,American Sexual Revolution (1971),52,USA,tt0210497,1971
92,Cinemania (2002),52,USA,tt0281724,2002
93,Comic-Con Episode IV: A Fan's Hope (2011),52,USA,tt1605782,2011
94,Hot Fuzz (2007),51,USA,tt0425112,2007
95,The Supermarket (2009),51,USA,tt1337549,2009
96,Lovelace (2013),50,USA,tt1426329,2013
97,Riders of the Rio Grande (1943),50,USA,tt0036312,1943
98,The Blocked Trail (1943),50,USA,tt0035683,1943
99,Swedish Erotica 85 (1995),50,USA,tt0274149,1995
100,Eagle Eye (2008),49,USA,tt1059786,2008
101,Inglourious Basterds (2009),49,USA,tt0361748,2009
102,Deadpool (2016),49,USA,tt1431045,2016
103,Santa Fe Scouts (1943),49,USA,tt0036332,1943
104,Invasion of the Scream Queens (1992),49,USA,tt0229477,1992
105,Swedish Erotica 84 (1995),49,USA,tt0274148,1995
106,Charlie Chan and the Curse of the Dragon Queen (1981),48,USA,tt0082159,1981
107,Aru eiga-kantoku no shogai (1975),48,Japan,tt0071163,1975
108,Swedish Erotica 82 (1995),48,USA,tt0274146,1995
109,In the Money (1958),47,USA,tt0051771,1958
110,Swedish Erotica 81 (1995),47,USA,tt0274145,1995
111,The Ring (2002),47,"USA,Japan",tt15125364,2002
112,Thundering Trails (1943),47,USA,tt0036437,1943
113,While We're Young (2014),47,USA,tt1791682,2014
114,Otoko wa tsurai yo: Torajiro kurenai no hana (1995),47,Japan,tt0114060,1995
115,Reservoir Dogs (1992),46,USA,tt0105236,1992
116,Swedish Erotica 80 (1995),46,USA,tt0274144,1995
117,"Otoko wa tsurai yo: Haikei, Kuruma Torajiro sama (1994)",46,Japan,tt0110748,1994
118,Up in Smoke (1957),46,USA,tt0051143,1957
119,Star Wars: Episode II - Attack of the Clones (2002),46,USA,tt0121765,2002
120,This Means War (2012),46,USA,tt1596350,2012
121,The Sky Dragon (1949),46,USA,tt0041882,1949
122,"Hail, Caesar! (2016)",46,"USA,Japan",tt0475290,2016
123,Another Gay Movie (2006),46,USA,tt0443431,2006
124,Valley of Hunted Men (1942),46,USA,tt0035500,1942
125,The Fisher King (1991),46,USA,tt0101889,1991
